Movie_Name,Director(s),Genre(s)
The Blue Angel (re-release) 2001,Josef von Sternberg,"Drama, Musical"
Thelma & Louise 1991,Ridley Scott,"Drama, Thriller, Crime"
Away from Her 2007,Sarah Polley,"Drama, Romance"
The Fallen Idol (re-release) 2006,Carol Reed,"Drama, Mystery, Thriller"
The Father 2021,Florian Zeller,Drama
Fat City 1972,John Huston,"Drama, Sport"
Foxtrot 2017,Samuel Maoz,Drama
Howards End 1992,James Ivory,"Drama, Romance"
The Innocents 1961,Jack Clayton,Horror
Inside Job 2010,Charles Ferguson,Documentary
Sweet Country 2018,Warwick Thornton,"Adventure, Drama, History, Thriller, Crime, Western"
Leave No Trace 2018,Debra Granik,Drama
Three Colors: White 1994,Krzysztof Kieslowski,"Drama, Comedy, Romance"
Chicken Run 2000,"Nick Park, Peter Lord","Comedy, Animation, Family"
The King's Speech 2010,Tom Hooper,"Drama, History"
Parallel Mothers 2021,Pedro Almodóvar,Drama
Hell or High Water 2016,David Mackenzie,"Drama, Crime"
Up 2009,"Bob Peterson, Pete Docter","Adventure, Drama, Comedy, Animation, Family"
Shirkers 2018,Sandi Tan,Documentary
Mildred Pierce 1945,Michael Curtiz,"Drama, Mystery, Romance, Crime, Film-Noir"
